name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"ABUJA, NIGERIA",2025-02-23,36,25,30.1,38.1,25,31,18.6,51.9,2.2,100,12.5,rain,0,0,18.1,8.1,253.7,1010.5,17.3,6.4,216.4,18.6,8,10,2025-02-23T06:46:21,2025-02-23T18:40:47,0.85,Rain,Clear conditions throughout the day with rain.,rain,"NIM00065125,65125099999,DNAA,65112599999,NII0000DNAA,remote"
"ABUJA, NIGERIA",2025-02-24,38,25,31.1,38.7,25,31.7,17.4,46.6,0,0,0,,0,0,10.7,6.9,263.7,1010.6,11.7,6.4,200.5,17.3,7,10,2025-02-24T06:45:58,2025-02-24T18:40:53,0.88,Clear,Clear conditions throughout the day.,clear-day,"NIM00065125,65125099999,DNAA,65112599999,NII0000DNAA,remote"
"ABUJA, NIGERIA",2025-02-25,38,24,31.1,37.7,24,30.9,14.7,39.1,0,0,0,,0,0,14.5,12.8,246.3,1011.1,12.4,6.4,271.8,23.7,9,10,2025-02-25T06:45:34,2025-02-25T18:40:57,0.92,Clear,Clear conditions throughout the day.,clear-day,"NIM00065125,65125099999,DNAA,65112599999,NII0000DNAA,remote"
"ABUJA, NIGERIA",2025-02-26,37,25,30.5,39.4,25,31.4,16.4,43.4,0,0,0,,0,0,19.9,11.4,117.2,1011.6,27.2,6.1,261.7,22.8,9,10,2025-02-26T06:45:10,2025-02-26T18:41:02,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"NIM00065125,65125099999,DNAA,65112599999,NII0000DNAA,remote"
"ABUJA, NIGERIA",2025-02-27,36,23,29.4,38.9,23,30.1,17.7,52.7,9,100,4.17,rain,0,0,17.7,27.7,92.2,1012.1,26.5,5.7,258.3,22.2,9,10,2025-02-27T06:44:44,2025-02-27T18:41:06,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"NIM00065125,65125099999,DNAA,65112599999,NII0000DNAA,remote"
"ABUJA, NIGERIA",2025-02-28,37.2,24,29.8,36.5,24,29.6,16.8,52,12,100,4.17,rain,0,0,15.7,8.1,34.4,1011,21.1,5.5,289.8,25,10,10,2025-02-28T06:44:19,2025-02-28T18:41:09,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"NIM00065125,65125099999,DNAA,65112599999,NII0000DNAA,remote"
"ABUJA, NIGERIA",2025-03-01,36,23,29.8,35.4,23,29.3,12.5,36.8,0,0,0,,0,0,15.4,6.9,88.4,1010,3.8,4.5,292.4,25.4,10,10,2025-03-01T06:43:52,2025-03-01T18:41:12,0.05,Clear,Clear conditions throughout the day.,clear-day,"NIM00065125,65125099999,DNAA,65112599999,NII0000DNAA,remote"
"ABUJA, NIGERIA",2025-03-02,39,24,31.1,38,24,30.8,14.7,40.7,0,0,0,,0,0,12.1,8.1,79.1,1009.5,10.4,4.4,289.8,25.1,10,10,2025-03-02T06:43:26,2025-03-02T18:41:15,0.09,Clear,Clear conditions throughout the day.,clear-day,"NIM00065125,65125099999,DNAA,65112599999,NII0000DNAA,remote"
"ABUJA, NIGERIA",2025-03-03,39,25,31.8,39.2,25,32.5,15.6,38.6,0,0,0,,0,0,17.7,8.1,111,1008.8,7,4.2,278.7,24.2,10,10,2025-03-03T06:42:58,2025-03-03T18:41:17,0.12,Clear,Clear conditions throughout the day.,clear-day,"NIM00065125,65125099999,DNAA,65112599999,NII0000DNAA"
"ABUJA, NIGERIA",2025-03-04,39,25,32,41.8,25,34.2,19.5,49.6,0,0,0,,0,0,17.7,9.2,210.6,1008,9.6,4.9,283.3,24.4,10,10,2025-03-04T06:42:30,2025-03-04T18:41:18,0.16,Clear,Clear conditions throughout the day.,clear-day,"NIM00065125,65125099999,DNAA,65112599999,NII0000DNAA"
